AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,COD_TIP_CUR,COD_DES_CUR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,COD_REG_ALU,COD_COM_ALU,NOM_COM_ALU,COD_SEC,COD_ESPE,COD_RAMA,COD_MEN,ENS
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26030514,1,201706,4,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26043172,1,201803,3,13,13101,SANTIAGO,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26094787,2,201704,4,13,13101,SANTIAGO,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26171535,1,201709,3,13,13101,SANTIAGO,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26185735,1,201704,4,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26311876,2,201704,4,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26312816,2,201712,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26315100,1,201803,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26317697,1,201709,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26318852,2,201704,4,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26324135,2,201712,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26324588,2,201707,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26329398,1,201802,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26334467,1,201802,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26337165,1,201705,4,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26339224,1,201707,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26341520,2,201704,4,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26341590,1,201706,4,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26342755,2,201708,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26343013,2,201801,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26343209,2,201710,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26344744,1,201710,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26345361,1,201708,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26346256,1,201704,4,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26346481,2,201802,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26346724,2,201709,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26348558,1,201710,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26351011,1,201708,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26351412,1,201802,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26355785,1,201708,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26357206,1,201712,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26360768,1,201706,4,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26361727,2,201702,4,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26361954,1,201706,4,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26362035,2,201709,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,26363726,2,201707,3,12,12101,PUNTA ARENAS,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,4,4,A,3,0,0,25527834,1,201608,4,12,12101,PUNTA ARENAS,0,0,0,0,1
